cwe,PC,PV,PB,PR,score
CWE-617,2,1,2,1,0.5
CWE-362,1,2,0,0,0.5
CWE-190,3,3,6,0,0.3333333333333333
CWE-476,6,12,6,7,0.24
CWE-787,2,11,3,1,0.13333333333333333
CWE-125,1,2,7,3,0.08333333333333333
CWE-119,0,2,0,0,0.0
CWE-415,0,3,0,0,0.0
CWE-862,0,0,2,0,0.0
CWE-843,0,2,0,1,0.0
CWE-754,0,0,1,0,0.0
CWE-703,0,5,1,0,0.0
CWE-416,0,3,4,1,0.0
CWE-369,0,1,0,2,0.0
CWE-401,0,1,1,0,0.0
CWE-120,0,1,0,0,0.0
CWE-295,0,1,0,0,0.0
CWE-276,0,3,0,0,0.0
CWE-269,0,1,0,0,0.0
CWE-200,0,0,1,0,0.0
CWE-20,0,0,2,0,0.0
CWE-134,0,1,0,0,0.0
CWE-908,0,0,1,0,0.0
CWE-354,1,0,0,0,
CWE-909,1,0,0,0,
