true_cwe,Metric,Score
CWE-119,Accuracy,0.5384615384615384
CWE-125,Accuracy,0.5256410256410257
CWE-190,Accuracy,0.3333333333333333
CWE-20,Accuracy,0.42857142857142855
CWE-22,Accuracy,0.45454545454545453
CWE-269,Accuracy,0.875
CWE-276,Accuracy,0.5
CWE-362,Accuracy,0.625
CWE-416,Accuracy,0.42105263157894735
CWE-434,Accuracy,1.0
CWE-476,Accuracy,0.5588235294117647
CWE-787,Accuracy,0.5526315789473685
CWE-79,Accuracy,0.5
CWE-862,Accuracy,0.5
CWE-863,Accuracy,0.0
CWE-94,Accuracy,0.5
CWE-119,Precision,0.5384615384615384
CWE-125,Precision,0.5277777777777778
CWE-190,Precision,0.2857142857142857
CWE-20,Precision,0.4
CWE-22,Precision,0.5
CWE-269,Precision,0.8
CWE-276,Precision,0.5
CWE-362,Precision,0.6
CWE-416,Precision,0.38461538461538464
CWE-434,Precision,0.0
CWE-476,Precision,0.5666666666666667
CWE-787,Precision,0.546875
CWE-79,Precision,0.0
CWE-862,Precision,0.5
CWE-863,Precision,0.0
CWE-94,Precision,0.0
CWE-119,Recall,0.5384615384615384
CWE-125,Recall,0.48717948717948717
CWE-190,Recall,0.2222222222222222
CWE-20,Recall,0.4
CWE-22,Recall,0.5
CWE-269,Recall,1.0
CWE-276,Recall,0.5
CWE-362,Recall,0.75
CWE-416,Recall,0.2631578947368421
CWE-434,Recall,0.0
CWE-476,Recall,0.5
CWE-787,Recall,0.6140350877192983
CWE-79,Recall,0.0
CWE-862,Recall,1.0
CWE-863,Recall,0.0
CWE-94,Recall,0.0
CWE-119,F1 Score,0.5384615384615384
CWE-125,F1 Score,0.5066666666666667
CWE-190,F1 Score,0.25
CWE-20,F1 Score,0.4
CWE-22,F1 Score,0.5
CWE-269,F1 Score,0.8888888888888888
CWE-276,F1 Score,0.5
CWE-362,F1 Score,0.6666666666666666
CWE-416,F1 Score,0.3125
CWE-434,F1 Score,0.0
CWE-476,F1 Score,0.53125
CWE-787,F1 Score,0.5785123966942148
CWE-79,F1 Score,0.0
CWE-862,F1 Score,0.6666666666666666
CWE-863,F1 Score,0.0
CWE-94,F1 Score,0.0
CWE-119,AUC,0.46153846153846156
CWE-125,AUC,0.5512820512820513
CWE-190,AUC,0.35185185185185186
CWE-20,AUC,0.4454545454545455
CWE-22,AUC,0.5333333333333333
CWE-269,AUC,0.8125
CWE-276,AUC,0.5
CWE-362,AUC,0.640625
CWE-416,AUC,0.445983379501385
CWE-434,AUC,
CWE-476,AUC,0.5484429065743944
CWE-787,AUC,0.582486919052016
CWE-79,AUC,0.25
CWE-862,AUC,0.5
CWE-863,AUC,0.0
CWE-94,AUC,0.375
CWE-119,Avg Confidence,0.8750000000000001
CWE-125,Avg Confidence,0.862179487179487
CWE-190,Avg Confidence,0.8722222222222222
CWE-20,Avg Confidence,0.8690476190476191
CWE-22,Avg Confidence,0.868181818181818
CWE-269,Avg Confidence,0.84375
CWE-276,Avg Confidence,0.85
CWE-362,Avg Confidence,0.8531249999999999
CWE-416,Avg Confidence,0.8592105263157894
CWE-434,Avg Confidence,0.85
CWE-476,Avg Confidence,0.8647058823529411
CWE-787,Avg Confidence,0.8614035087719297
CWE-79,Avg Confidence,0.8374999999999999
CWE-862,Avg Confidence,0.85
CWE-863,Avg Confidence,0.8
CWE-94,Avg Confidence,0.8875
