cwe,Metric,Count,Score
CWE-119,TP,1.0,
CWE-120,TP,1.0,
CWE-125,TP,2.0,
CWE-134,TP,1.0,
CWE-190,TP,3.0,
CWE-200,TP,0.0,
CWE-276,TP,1.0,
CWE-295,TP,1.0,
CWE-354,TP,1.0,
CWE-362,TP,1.0,
CWE-369,TP,1.0,
CWE-401,TP,1.0,
CWE-415,TP,3.0,
CWE-416,TP,0.0,
CWE-476,TP,9.0,
CWE-617,TP,3.0,
CWE-703,TP,5.0,
CWE-754,TP,0.0,
CWE-787,TP,2.0,
CWE-843,TP,2.0,
CWE-862,TP,0.0,
CWE-908,TP,0.0,
CWE-909,TP,1.0,
CWE-119,TN,0.0,
CWE-120,TN,0.0,
CWE-125,TN,0.0,
CWE-134,TN,0.0,
CWE-190,TN,3.0,
CWE-200,TN,1.0,
CWE-276,TN,0.0,
CWE-295,TN,0.0,
CWE-354,TN,1.0,
CWE-362,TN,0.0,
CWE-369,TN,0.0,
CWE-401,TN,1.0,
CWE-415,TN,0.0,
CWE-416,TN,1.0,
CWE-476,TN,7.0,
CWE-617,TN,4.0,
CWE-703,TN,1.0,
CWE-754,TN,1.0,
CWE-787,TN,1.0,
CWE-843,TN,0.0,
CWE-862,TN,1.0,
CWE-908,TN,1.0,
CWE-909,TN,1.0,
CWE-119,FP,1.0,
CWE-120,FP,1.0,
CWE-125,FP,3.0,
CWE-134,FP,1.0,
CWE-190,FP,3.0,
CWE-200,FP,0.0,
CWE-276,FP,1.0,
CWE-295,FP,1.0,
CWE-354,FP,0.0,
CWE-362,FP,1.0,
CWE-369,FP,3.0,
CWE-401,FP,1.0,
CWE-415,FP,3.0,
CWE-416,FP,0.0,
CWE-476,FP,6.0,
CWE-617,FP,2.0,
CWE-703,FP,5.0,
CWE-754,FP,0.0,
CWE-787,FP,3.0,
CWE-843,FP,3.0,
CWE-862,FP,0.0,
CWE-908,FP,0.0,
CWE-909,FP,0.0,
CWE-119,FN,0.0,
CWE-120,FN,0.0,
CWE-125,FN,1.0,
CWE-134,FN,0.0,
CWE-190,FN,3.0,
CWE-200,FN,1.0,
CWE-276,FN,0.0,
CWE-295,FN,0.0,
CWE-354,FN,0.0,
CWE-362,FN,0.0,
CWE-369,FN,2.0,
CWE-401,FN,1.0,
CWE-415,FN,0.0,
CWE-416,FN,1.0,
CWE-476,FN,4.0,
CWE-617,FN,3.0,
CWE-703,FN,1.0,
CWE-754,FN,1.0,
CWE-787,FN,2.0,
CWE-843,FN,1.0,
CWE-862,FN,1.0,
CWE-908,FN,1.0,
CWE-909,FN,0.0,
CWE-119,Accuracy,,0.5
CWE-120,Accuracy,,0.5
CWE-125,Accuracy,,0.3333333333333333
CWE-134,Accuracy,,0.5
CWE-190,Accuracy,,0.5
CWE-200,Accuracy,,0.5
CWE-276,Accuracy,,0.5
CWE-295,Accuracy,,0.5
CWE-354,Accuracy,,1.0
CWE-362,Accuracy,,0.5
CWE-369,Accuracy,,0.16666666666666666
CWE-401,Accuracy,,0.5
CWE-415,Accuracy,,0.5
CWE-416,Accuracy,,0.5
CWE-476,Accuracy,,0.6153846153846154
CWE-617,Accuracy,,0.5833333333333334
CWE-703,Accuracy,,0.5
CWE-754,Accuracy,,0.5
CWE-787,Accuracy,,0.375
CWE-843,Accuracy,,0.3333333333333333
CWE-862,Accuracy,,0.5
CWE-908,Accuracy,,0.5
CWE-909,Accuracy,,1.0
CWE-119,Precision,,0.5
CWE-120,Precision,,0.5
CWE-125,Precision,,0.4
CWE-134,Precision,,0.5
CWE-190,Precision,,0.5
CWE-200,Precision,,0.0
CWE-276,Precision,,0.5
CWE-295,Precision,,0.5
CWE-354,Precision,,1.0
CWE-362,Precision,,0.5
CWE-369,Precision,,0.25
CWE-401,Precision,,0.5
CWE-415,Precision,,0.5
CWE-416,Precision,,0.0
CWE-476,Precision,,0.6
CWE-617,Precision,,0.6
CWE-703,Precision,,0.5
CWE-754,Precision,,0.0
CWE-787,Precision,,0.4
CWE-843,Precision,,0.4
CWE-862,Precision,,0.0
CWE-908,Precision,,0.0
CWE-909,Precision,,1.0
CWE-119,Recall,,1.0
CWE-120,Recall,,1.0
CWE-125,Recall,,0.6666666666666666
CWE-134,Recall,,1.0
CWE-190,Recall,,0.5
CWE-200,Recall,,0.0
CWE-276,Recall,,1.0
CWE-295,Recall,,1.0
